текст,класс_id,класс_название
поезд 2014 прибыл на первый путь,0,Штатная
прибытие поезда 105 на пятый путь,0,Штатная
поезд 301 прибыл на станцию согласно расписанию,0,Штатная
скорый 54 прибыл без задержек,0,Штатная
электричка 6307 прибыла на третий путь,0,Штатная
пассажирский 100 занял четвёртый путь,0,Штатная
поезд прибыл на конечную станцию,0,Штатная
поезд 33 прибыл вовремя,0,Штатная
поезд 45 прибыл на второй путь,0,Штатная
грузовой 7701 прибыл на сортировочную,0,Штатная
поезд 404 прибыл на станцию назначения,0,Штатная
поезд 505 прибыл в соответствии с ниткой графика,0,Штатная
состав 12 прибыл на первый путь станции,0,Штатная
пригородный поезд прибыл по расписанию,0,Штатная
скорый поезд 18 прибыл на перрон,0,Штатная
поезд 301 отправился со второго пути,0,Штатная
отправление поезда 88 расписание выполнено,0,Штатная
поезд 12 отправился согласно графику,0,Штатная
поезд 75 готов к отправлению разрешаю,0,Штатная
поезд 200 отправился по расписанию,0,Штатная
поезд 404 отправился со станции,0,Штатная
прием поезда 77 на второй путь выполнен отправление по графику,0,Штатная
поезд 12 отправился со второго пути по расписанию,0,Штатная
электропоезд 6001 убыл в депо после смены,0,Штатная
грузовой 9001 отправлен с третьего пути,0,Штатная
поезд 3002 проследовал без остановки,0,Штатная
грузовой 7701 прошёл станцию без остановки,0,Штатная
поезд 88 проследовал по перегону нормально,0,Штатная
транзитный поезд 200 проследовал без остановок,0,Штатная
поезд проследовал в установленное время,0,Штатная
поезд 45 стоит на первом пути ожидает отправления по графику,0,Штатная
поезд 75 занял путь согласно плану,0,Штатная
маршрутный лист выполнен поездом 202,0,Штатная
поезд 33 следует по расписанию,0,Штатная
поезд на пути готов к отправлению,0,Штатная
поезд стоит на приёмоотправочном пути,0,Штатная
локомотив прибыл под состав,0,Штатная
состав подан под погрузку,0,Штатная
поезд готов к отправлению операции завершены,0,Штатная
стоянка поезда по расписанию две минуты,0,Штатная
маневровый состав переставлен на второй путь,0,Штатная
локомотив выполняет манёвры на пятом пути,0,Штатная
перестановка вагонов на сортировочной горке выполнена,0,Штатная
маневровая работа на третьем пути завершена,0,Штатная
подача вагонов на грузовой двор выполнена,0,Штатная
технический осмотр состава завершён поезд готов,0,Штатная
коммерческий осмотр без замечаний,0,Штатная
контрольная проверка автотормозов выполнена,0,Штатная
смена локомотивной бригады выполнена отправление по графику,0,Штатная
прицепка локомотива к составу выполнена,0,Штатная
заклинило стрелку номер 12,1,Тех. сбой
неисправна стрелка 5 не переводится,1,Тех. сбой
стрелочный перевод номер 8 в неисправности,1,Тех. сбой
стрелка не переводится застряла,1,Тех. сбой
переключение на ручное управление стрелкой номер 3,1,Тех. сбой
стрелка 15 не встала в крайнее положение,1,Тех. сбой
остряк стрелки отошёл более 4 мм,1,Тех. сбой
стрелочный перевод занят не освобождается,1,Тех. сбой
стрелка самопроизвольно перевелась,1,Тех. сбой
централизованная стрелка не управляется с пульта,1,Тех. сбой
светофор Ч2 не работает показывает красный,1,Тех. сбой
отказ сигнализации на перегоне,1,Тех. сбой
сбой автоблокировки на участке,1,Тех. сбой
поезд стоит у запрещающего сигнала светофора,1,Тех. сбой
нет разрешения на отправление блокировка,1,Тех. сбой
светофор показывает неверный сигнал,1,Тех. сбой
сбой системы управления движением,1,Тех. сбой
нарушение цепи безопасности поезда,1,Тех. сбой
поезд не может отправиться отказ электрической блокировки,1,Тех. сбой
неисправность путевого датчика на перегоне,1,Тех. сбой
потеря шунта от поезда нет контроля занятости,1,Тех. сбой
ложная свободность участка пути по показанию,1,Тех. сбой
неисправность буксового узла вагона,1,Тех. сбой
заклинивание колёсной пары вагона 3,1,Тех. сбой
отказ тормозной системы вагона проверяем,1,Тех. сбой
задержка из-за обнаруженной неисправности вагона,1,Тех. сбой
нагрев буксы по показанию КТСМ,1,Тех. сбой
срабатывание УКСПС контроль схода обеспечен,1,Тех. сбой
неисправен локомотив поезда 55 требуется замена,1,Тех. сбой
отказ тяговой передачи локомотива,1,Тех. сбой
